order_id,order_status,customer,order_date,order_quantity,sales,discount,discount_value,product_category,product_sub_category
3,Order Finished,Muhammed Mac Intyre,2010-10-13,6,523080,0.04,20923,Office Supplies,Storage & Organization
293,Order Finished,Barry French,2012-10-01,49,20246040,0.07,1417223,Office Supplies,Appliances
483,Order Finished,Clay Rozendal,2011-07-10,30,9931519,0.08,794522,Technology,Telephones & Communication
515,Order Finished,Carlos Soltero,2010-08-28,19,788540,0.08,63083,Office Supplies,Appliances
613,Order Finished,Carl Jackson,2011-06-17,12,187080,0.03,5612,Office Supplies,Binders & Binder Accessories
643,Order Finished,Monica Federle,2011-03-24,21,5563640,0.07,389455,Office Supplies,Storage & Organization
678,Order Returned,Dorothy Badders,2010-02-26,44,456820,0.07,31977,Office Supplies,Paper
807,Order Finished,Neola Schneider,2010-11-23,45,393700,0.01,3937,Office Supplies,Paper
868,Order Finished,Carlos Daly,2012-06-08,32,1433680,0.0,0,Office Supplies,Appliances
933,Order Finished,Claudia Miner,2012-08-04,15,161220,0.02,3224,Office Supplies,Binders & Binder Accessories
995,Order Finished,Neola Schneider,2011-05-30,46,3630980,0.03,108929,Furniture,Office Furnishings
998,Order Finished,Allen Rosenblatt,2009-11-25,16,496520,0.07,34756,Office Supplies,Envelopes
1154,Order Finished,Sylvia Foulston,2012-02-14,44,8924460,0.04,356978,Furniture,Bookcases
1344,Order Finished,Jim Radford,2012-04-15,15,1669808,0.06,100188,Technology,Telephones & Communication
1412,Order Finished,Carlos Soltero,2010-03-12,13,118060,0.1,11806,Office Supplies,Labels
1539,Order Finished,Carl Ludwig,2011-03-09,33,1023660,0.1,102366,Office Supplies,Binders & Binder Accessories
1540,Order Finished,Don Miller,2012-08-04,30,161800,0.09,14562,Office Supplies,Pens & Art Supplies
1702,Order Finished,Annie Cyprus,2011-05-06,23,134480,0.06,8069,Office Supplies,Pens & Art Supplies
1761,Order Finished,Carl Ludwig,2010-12-23,25,24056460,0.01,240565,Technology,Copiers & Fax
1792,Order Finished,Carlos Soltero,2010-11-08,28,740960,0.04,29638,Office Supplies,Storage & Organization
2275,Order Finished,Grant Carroll,2012-10-21,49,556000,0.08,44480,Office Supplies,Pens & Art Supplies
2277,Order Finished,Don Miller,2011-01-01,10,133080,0.01,1331,Technology,Computer Peripherals
2532,Order Finished,Alan Barnes,2011-10-10,39,564140,0.03,16924,Office Supplies,Labels
2631,Order Finished,Jack Garza,2010-09-23,27,2156980,0.08,172558,Technology,Computer Peripherals
2757,Order Finished,Julia West,2011-07-19,39,7108920,0.07,497624,Furniture,Chairs & Chairmats
2791,Order Finished,Eugene Barchas,2009-10-09,47,383340,0.0,0,Office Supplies,Binders & Binder Accessories
2976,Order Finished,Edward Hooks,2010-12-09,30,28447640,0.09,2560288,Furniture,Chairs & Chairmats
3232,Order Finished,Brad Eason,2012-10-08,5,85320,0.06,5119,Office Supplies,Binders & Binder Accessories
3524,Order Finished,Nicole Hansen,2012-05-02,21,854640,0.0,0,Office Supplies,Paper
3908,Order Finished,Dorothy Wardle,2010-03-08,8,1640568,0.0,0,Technology,Telephones & Communication
4132,Order Finished,Aaron Bergman,2011-05-28,5,29520,0.01,295,Office Supplies,Labels
4612,Order Finished,Jim Radford,2010-09-19,9,179100,0.06,10746,Office Supplies,Appliances
4676,Order Finished,Annie Cyprus,2011-08-31,11,2420103,0.04,96804,Technology,Telephones & Communication
5284,Order Finished,Annie Cyprus,2011-07-08,7,118760,0.1,11876,Office Supplies,Binders & Binder Accessories
5316,Order Finished,Clay Rozendal,2009-01-30,42,2570740,0.1,257074,Technology,Computer Peripherals
5409,Order Finished,Don Jones,2012-01-08,11,97820,0.01,978,Office Supplies,Paper
5506,Order Finished,Beth Thompson,2010-11-07,22,259240,0.05,12962,Office Supplies,Paper
5569,Order Finished,Frank Price,2010-04-29,12,237940,0.09,21415,Furniture,Office Furnishings
5607,Order Finished,Michelle Lonsdale,2011-12-31,8,123743,0.0,0,Technology,Telephones & Communication
5894,Order Finished,Ann Chong,2009-08-12,7,768660,0.1,76866,Office Supplies,Binders & Binder Accessories
5925,Order Finished,Joy Bell,2011-11-12,44,7844840,0.08,627587,Furniture,Office Furnishings
